timestamp,tx,ty,tz,qx,qy,qz,qw,vx,vy,vz
1768224345.5581136,0.00023672872843815527,-4.381053104611929e-05,-0.0003578511168994727,0.7979651926612917,0.008785571978524897,0.602528394133812,-0.011571486013792013,0.0009625525137478299,-0.0019235383584946895,-0.0017158311475476324
1768224345.6480098,0.0003174665449046298,-4.9701875754351765e-05,-0.0010590513457478799,0.7979777977232646,0.008669313851994714,0.6025131731505492,-0.011582465977519777,0.0023029711651388245,0.001966440134686838,-0.0020565760421344865
1768224345.7544856,-0.0007492147530765884,-0.0006993704175630495,0.00017740181089683746,0.7981270706232225,0.008871674091728458,0.6023123347919763,-0.01158981857674933,0.002621647123224816,-0.0008554301506419343,0.0023251609693921184
1768224345.854264,-0.0006680352869105731,-0.0003027973079910532,-0.00033963583699534567,0.7980210354625396,0.008954864610228897,0.6024482932158921,-0.011759734706494678,0.0011221806295098166,0.0008810608919732664,0.0011028907952548065
1768224345.9526303,-0.0006913189202911049,-0.00021271129286858968,-0.00048773310602731373,0.7979491205076232,0.00921540667751182,0.6025319253676307,-0.012147274330263998,0.0007916323337922822,-0.00026851485326960165,0.0003044698331911331
1768224346.0614095,-0.0006708325876521692,-0.0002528157047608473,-0.0005516301913751757,0.7978467270028831,0.009419081394632042,0.6026595037248851,-0.012385624188696329,0.0022336885142328015,0.0007109894395050779,0.0007889821994405929
1768224346.159804,-0.0006516710334858536,-0.00037798230442213205,-0.0003315975988118769,0.7978748417108399,0.00979098886834733,0.6026069333125198,-0.012835786908578296,0.0022091884626919476,3.2892208006214544e-05,0.002550001179165186
1768224346.2647083,-0.0006518156873582323,-0.00039019107284711383,-0.00011567123484927943,0.7977570929998623,0.009716622089768373,0.6027665206397332,-0.012717288211091223,0.0012736692428072086,-0.004357029057750727,0.0022536503769369598
1768224346.3594637,-0.0006976310784572965,-0.0005156479362691537,-0.00019378050226555744,0.7976930692377237,0.010117508589375802,0.6028342333652186,-0.01320190868827415,0.0005812612375173522,0.0011569502356697696,-0.0003343424428646287
1768224346.4608998,-0.0006468053695101316,-0.00042050727493320124,-0.0003513453113138762,0.7975362056019686,0.010451363399632322,0.6030292156884566,-0.013510543411290248,0.002541187033604231,0.0012614766048276377,-0.002069667205909761
1768224346.5574374,-0.000738174936754873,-0.00027260406129904746,-0.00041478331744940737,0.7973800371448856,0.01064873457649016,0.6032210110290162,-0.014003309175762391,0.002359245534372101,0.0006536255453611901,-0.0015386275719020065
1768224346.6603782,-0.0008173614946109456,-0.0002706765825980566,-0.0003973552363332665,0.7972169601484032,0.010998893259533956,0.6034198042663325,-0.014445851237838639,0.0006278725703330777,0.0006583363196907581,-0.0020640439567063238
1768224346.7589147,-0.0008002093174567639,-0.00019522305006271142,-0.0004459256847746977,0.7970845624008578,0.011284960566246277,0.6035787387352969,-0.014884763819409539,-0.00037320688089508794,0.0028340923967709,-0.001681850784530884
1768224346.8572478,-0.0008511802097665099,-0.00023892040356672666,-0.00041547295031986475,0.796959084092177,0.011681099854949492,0.6037269264335272,-0.015282947630075849,-0.000586867380626807,0.0038663229549493632,0.0007629628253292266
1768224346.9595726,-0.000802545188640295,-0.00026256214050764625,-0.0004668709930829156,0.7967945043812925,0.01202865534723944,0.6039266914512783,-0.015696515250849998,0.0011950732626518422,0.003180739085376313,0.00014512387469010253
1768224347.0601249,-0.0007066184966725844,-0.00024895419678453497,-0.0005246581145077218,0.7966251861543262,0.012314897398155191,0.6041314086389815,-0.016183237702575324,0.002139074578999097,0.0016486417413341527,0.0006687511301675805
1768224347.158683,-0.0007670846482050969,-0.00025121728743419583,-0.0004862000806778971,0.796480791974438,0.012690863222218605,0.6043028026976831,-0.016595561399725102,0.0019490134739854341,0.0016274327120530516,0.002135126954303757
1768224347.2596557,-0.0007838485643060411,-0.000296134830255283,-0.00020482138846892632,0.7965032258396332,0.01303722527479017,0.6042654343162407,-0.016611046770079612,0.004586979133811393,0.00676775930657522,0.004078961247275403
1768224347.3583891,-0.0007406263805799289,-0.00035567926769895563,-0.00038070962009285295,0.796270568590337,0.01334295716264695,0.6045435317416549,-0.017385779255011672,0.004177323339751608,0.001481248520512117,0.00020224951995807805
1768224347.4589381,-0.0007888213618778801,-0.0004145005345439086,-0.0004276650747282517,0.7961460495880174,0.013640461304501151,0.6046896423707355,-0.017771942784808113,0.0034320625652130704,-8.927812552875138e-05,-0.0010216594688731418
1768224347.5593822,-0.0008800132845917009,-0.0003632616767170934,-0.0003738493084374046,0.7959914823256264,0.013926059406848846,0.604878749464653,-0.018036723109442664,0.0010815700815767558,0.00181515869207196,-0.00022275886677327033
1768224347.659713,-0.0009468793764625134,-0.0005193378887444327,-0.00021890126882683698,0.7960959759430828,0.014352355817677723,0.604719445624222,-0.01842821352293587,0.0032520928406377476,-0.0024994846278217253,0.0021596458432723144
1768224347.758312,-0.0008571123073220148,-0.0005969831314109309,3.057007507022082e-05,0.7961157672627583,0.014525709305923206,0.6046783962462945,-0.018781000979677116,0.005197023985096257,0.0006679518334225354,0.003129210447743229
1768224347.8566704,-0.0006436491853330787,-0.00066412422195682,0.00011661726989198616,0.7961265344652865,0.014754466188666807,0.604644036801263,-0.019246703833475397,0.003579155936930539,-0.0005614047886562761,0.0019911606643242892
1768224347.9593408,-0.0007693611607675592,-0.0007351821370560831,0.00040436666790473426,0.7968813752053538,0.015133053003661762,0.6036295367720281,-0.019556249487036232,-0.004693902745800562,-0.00013508474295972775,-0.003375495039619337
1768224348.0578449,-0.0009395254498444808,-0.0008604978752882661,0.0005098794784270182,0.7972510591747501,0.015658560967537795,0.6031114998542494,-0.020051854196631275,-0.007418247613486204,-0.0020088506970544033,0.0023139676197301206
1768224348.158221,-0.0007297833873217733,-0.0008971757754510446,0.000591393426238366,0.7973076993660887,0.015825999981772542,0.6030081985286485,-0.020762532681867635,-0.0050592148699883915,-0.0025585886869773622,-0.00226981923703605
1768224348.2669942,-0.0008416994450808418,-0.0009075425562474321,0.0007039360026734655,0.7971829584532949,0.016468969753815333,0.6031585454830053,-0.02068508636012534,0.0001524989840988747,-0.0024270501318435006,-0.006100862488902591
1768224348.3578017,-0.0007514347279208234,-0.0007319624526502583,0.000557236762174202,0.7971113844492415,0.016702038206671283,0.603237863401541,-0.020941892462249062,-0.0028332245707652164,-0.002592255347511352,-0.008742934065216295
1768224348.4592202,-0.0005110724765211677,-0.0006814820058814971,0.0006904800925372086,0.7981754624370705,0.01709509640641364,0.6018094701815956,-0.02119081031889323,0.008156766694405774,-0.007592357866122931,-0.006515589648183589
1768224348.5596917,4.568591382763358e-06,-0.0008232445777943589,0.00035550731034008476,0.7996971624665976,0.016824952711835393,0.599782195391116,-0.02151016970946125,-0.0032337549731434895,-0.009094875552285511,-0.015869448446254212
1768224348.6580215,6.833010933991979e-05,-0.0006943519685790338,0.0007307484049147064,0.800815264277573,0.017172984570257906,0.598284840660228,-0.021336600881023998,0.0035808514768261197,-0.008557340159672647,-0.008615644527891148
1768224348.75834,0.0004858393784817573,-0.0013221510356620676,0.0008655878376849803,0.8037628761582172,0.01606923496194689,0.5944069562810419,-0.0196821981068127,0.0013527273930636161,-0.01757182865343937,-0.026842547005911606
1768224348.8587162,0.0004838337545613531,-0.0022922381614591115,0.0004951430028809056,0.8040746810366562,0.014420355697443923,0.5940492687229437,-0.019011233181836854,0.005786964889179888,-0.011642840118352963,0.0009394563641032432
1768224348.9591079,-0.0002489089964610965,-0.003298863916812751,0.0029660509890646032,0.8042603117648176,0.014792664644887989,0.5939526571842634,-0.012913907867683832,-0.0020371620662510866,-0.017563344969015536,0.025147244326583548
1768224349.0633175,-0.0014429474250229814,-0.003937501086399826,0.010122687057079523,0.804682299705495,0.014337075382019842,0.5934966477375258,-0.006524870457366522,-0.008994708234174982,-0.012110107134834987,0.07055814509564003
1768224349.1607313,-0.0036524963208723086,-0.00313808573591809,0.021529690895753035,0.8080047977461917,0.010336513010524028,0.5890582199106834,0.005640644783740003,-0.02261490152698367,0.008931258092861011,0.13584288295620503
1768224349.2629604,-0.007575438828561129,0.00019937389516874024,0.039973729263861335,0.8159468805495298,0.0027944550189239288,0.5777924822434032,0.019460899404841935,-0.042707118994204596,0.04763057946751536,0.21700063958045396
1768224349.359793,-0.014262763615002939,0.006708129727040544,0.06671030914515161,0.8233635346992306,-0.009710527092922482,0.5663241638056374,0.03542791104499538,-0.06484565671476358,0.08429754263451168,0.27749400852839534
